item_nr,target_de,target_en,unrelated_distractor_de,unrelated_distractor_en,semantic_distractor_de,semantic_distractor_en,phonological_distractor_de,phonological_distractor_en
1,auge,eye,trommel,drum,nase,nose,kamm,comb
2,möhre,carrot,uhr,clock,gurke,cucumber,bett,bed
3,ameise,ant,käse,cheese,vogel,bird,ball,ball
4,elch,elk,skelett,skeleton,mammut,mammoth,kelch,goblet / chalice / cup
5,chor,choir,tastatur,keyboard,orchester,orchestra,rohr,pipe
6,ventilator,ventilator,teekanne,teapot,fächer,fan,gartentor,garden gate
7,rucola,arugula / rocket,plakat,poster,rosenkohl,brussels sprouts,drakula,dracula
8,giraffe,giraffe,auto,car,schnecke,snail,pizza,pizza
9,palme,palm tree,pokal,cup,kaktus,cactus,(trink)halme,(drinking) straws
10,ananas,pineapple,krawatte,tie,wassermelone,watermelon,gitarre,guitar
11,ozean,ocean,fabrik,factory,fluss,river,pelikan,pelican
12,gazelle,gazelle,astronaut,astronaut,reh,deer,libelle,dragonfly
13,pfifferling,chanterelle,diamant,diamond,kastanie,chestnut,schmetterling,butterfly
14,ruine,ruin,torwart,goalkeeper,festung,fortress,schiene,rail / tracks
15,labyrinth,labyrinth,stau,traffic jam,achterbahn,roller coaster,wirbelwind,whirlwind
16,orchidee,orchid,banner,banner,strauch,shrub / bush,zehe,toe
17,zucchini,zucchini,skateboard,skateboard,brokkoli,broccoli,bikini,bikini
18,kajak,kayak,bumerang,boomerang,segelboot,sailingboat,rucksack,backpack
19,hummer,lobster,mikroskop,microscope,krebs,crab,klammer,clip
20,nelke,carnation / pinks,kompass,compass,veilchen,violets,zelte,tents
21,flunder,flounder,pyramide,pyramid,orca,orca,holunder,elderberry
22,cello,cello,steg,landing bridge,harfe,harp,marshmallow,marshmallow